0 1 2
2 1 1
2 2 2
0 2 16
0 1 2
0 3 2
0 3 23
4 2 1
0 1 1
0 2 5
0 3 3
2 2 3
0 2 1
1 1 4
2 2 4
0 1 3
0 1 1
1 2 3
0 1 2
0 2 4
2 1 1
0 1 1
1 1 1
0 1 2
0 3 3
0 2 6
0 1 3
1 2 1
1 2 1
1 1 1
2 2 2
0 3 1
1 1 1
0 2 1
1 1 2
1 2 1
2 3 7
3 3 1
1 2 1
1 2 6
0 1 3
0 1 2
2 3 8
0 1 1
0 1 1
1 1 1
1 2 2
0 2 2
0 3 2
1 2 10
0 1 1
0 2 1
2 3 11
0 2 1
0 1 1
0 1 5
2 1 1
2 2 3
1 1 2
2 2 1
0 1 1
1 1 4
0 1 1
0 3 5
0 3 7
2 2 2
0 1 1
2 3 13
0 2 1
0 1 3
2 1 1
2 2 2
6 3 1
1 3 2
0 1 1
1 3 5
1 1 1
2 3 3
1 2 6
2 2 3
0 2 2
2 2 2
2 1 1
1 1 2
3 2 1
0 1 1
0 4 1
1 2 4
1 2 2
0 1 2
0 2 1
0 3 8
0 2 1
3 3 2
2 1 2
0 1 2
1 1 1
1 2 4
1 1 4
4 2 1
1 2 3
0 4 7
0 2 5
2 2 1
3 1 1
2 3 8
1 3 1
2 3 3
2 2 2
0 2 4
4 4 3
0 4 6
2 2 12
1 1 1
0 1 1
0 1 3
1 2 2
0 4 33
0 2 1
0 2 1
1 1 3
0 1 1
0 2 1
0 2 1
2 2 2
0 1 3
2 2 5
0 2 2
0 2 4
0 2 15
0 4 64
0 1 1
2 1 2
0 3 1
1 1 3
0 2 1
0 2 1
1 1 1
2 1 3
0 1 1
0 2 2
1 1 1
0 2 3
0 2 2
2 1 1
0 2 5
3 3 1
0 1 2
0 5 4
2 1 1
0 3 15
0 3 7
0 4 5
1 1 1
0 2 1
0 2 2
0 3 2
0 3 6
0 3 3
2 2 9
0 1 1
0 1 1
0 1 5
2 4 12
1 3 1
6 4 13
0 1 3
0 2 4
0 2 1
0 1 3
2 1 3
0 3 2
2 1 1
0 2 7
3 4 3
0 2 2
1 1 1
0 3 7
0 4 31
3 5 20
0 4 13
1 2 1
3 2 7
0 4 31
0 2 1
1 6 22
0 3 1
0 1 2
0 1 1
1 2 12
3 4 32
0 2 2
2 1 1
3 3 11
0 2 2
0 3 2
2 2 1
0 1 2
0 4 29
0 2 5
0 3 3
0 2 2
0 2 3
1 5 165
0 2 3
0 3 2
0 1 2
3 3 2
0 1 1
0 2 2
1 1 2
3 3 4
0 4 35
0 1 2
1 1 1
2 4 1
0 4 1
0 3 17
3 3 1
0 3 8
0 4 35
0 2 2
0 2 1
0 3 2
2 2 2
0 2 2
0 4 8
1 1 1
1 5 2
1 1 1
0 3 5
0 1 2
2 2 1
0 5 21
2 2 1
2 3 13
0 2 3
0 4 7
1 1 4
0 4 267
2 2 1
0 4 265
0 1 1
0 3 1
1 1 1
0 1 1
0 2 2
0 6 289
2 2 7
2 3 4
0 4 21
0 4 285
1 2 1
0 3 1
2 1 1
5 3 1
4 3 8
2 5 1
0 2 1
0 1 1
0 3 2
1 2 7
0 1 2
4 3 2
0 1 2
5 5 67
6 6 954
0 3 3
4 4 13
4 1 1
1 1 1
0 5 7
1 2 1
0 5 1
0 6 1028
3 1 1
4 4 5
1 4 2
1 3 12
4 2 3
0 1 2
0 3 4
4 3 9
3 2 3
2 1 1
0 2 9
3 2 2
0 4 1
0 6 21
0 2 1
0 3 16
0 2 1
0 2 2
1 1 1
0 2 2
1 2 1
0 6 1699
1 2 1
0 4 21
1 4 2
1 4 12
0 1 3
3 3 3
3 2 1
0 1 1
0 2 2
3 3 1
0 2 8
0 3 3
4 4 10
1 3 1
0 7 1997
0 1 1
3 1 1
1 2 4
1 5 1
0 5 35
3 2 1
0 3 1
4 4 4
2 5 13
0 2 3
2 1 1
0 7 2401
1 2 9
0 1 1
0 3 1
8 2 2
4 2 3
0 4 1
0 3 9
0 3 18
8 4 2
3 7 2559
2 2 3
0 1 2
0 1 1
2 7 2585
5 7 2626
2 3 2
0 1 1
0 7 2660
0 3 1
2 3 20
6 6 9
0 7 2672
0 2 1
0 3 1
0 1 2
0 3 1
0 1 2
0 7 2685
0 2 3
0 2 2
0 7 2687
7 3 4
0 5 8
0 2 1
1 8 2771
8 4 1
2 1 1
0 1 1
0 1 1
4 8 2821
0 4 5
0 8 2845
4 8 2851
0 1 1
0 1 3
0 4 2
1 1 1
0 3 4
0 3 2
0 8 2957
4 8 2985
0 8 2987
1 1 2
2 8 3004
0 2 1
1 4 2
0 2 5
2 3 1
1 2 1
2 1 1
4 4 2
8 2 2
0 3 3
1 1 1
2 2 3
2 2 6
0 2 5
0 8 3118
7 8 3117
3 8 3117
1 2 5
6 8 3129
2 8 3130
1 8 3132
0 2 1
3 8 3129
2 2 1
0 3 3
2 2 1
0 3 1
0 8 3191
0 3 3
1 1 1
4 4 1
0 8 3320
4 8 3319
0 8 3323
1 8 3383
2 3 1
4 2 2
4 2 2
2 2 1
4 3 2
2 8 3436
0 2 2
2 2 3
6 3 2
3 1 1
0 8 3606
6 3 4
4 5 5
0 2 1
1 2 1
1 1 3
0 3 2
1 8 3638
2 4 1
0 8 3665
0 8 3665
3 3 3
0 2 1
0 2 1
3 3 3
2 2 5
1 2 1
8 8 3700
0 1 1
0 1 1
1 8 3738
6 8 3740
5 8 3745
3 8 3814
1 1 1
10 8 3856
0 2 1
2 8 3854
7 5 1
0 4 4
0 8 3921
0 8 3940
2 4 4
4 5 13
0 8 3964
3 3 1
1 1 1
2 8 3973
3 3 2
1 2 1
0 2 1
1 2 2
