0 1 2
1440935 3758 2643
4258608 5075 2821
1164467 5078 2820
4425196 5101 2822
4762054 5202 2822
2115518 5202 2822
3945131 5205 2821
4895123 5228 2823
4875603 5228 2823
4891035 5229 2823
5031817 5278 2823
5116464 5306 2826
4380396 5329 2827
5249787 5334 2827
5419503 5379 2837
1378215 5407 2841
5552577 5431 2839
5626521 5440 2838
5744770 5459 2839
3305255 5479 2840
5987672 5520 2843
2276158 5538 2844
4800273 5559 2845
6137741 5601 2851
6128799 5610 2853
5796110 5610 2854
6317923 5656 2857
11 7 1
4757468 5694 2861
6568337 5712 2863
6627594 5727 2863
6654520 5730 2864
4268827 5734 2863
5352132 5736 2863
1 1 2
6046979 5743 2865
5358770 5745 2865
6728757 5750 2865
7011723 5834 2869
7083567 5852 2871
7130637 5882 2871
7247978 5912 2873
7384860 5942 2875
7408296 5945 2876
7408504 5946 2876
7635945 5990 2880
7441252 6040 2884
7973153 6084 2885
7979602 6089 2885
1053600 6144 2890
8378160 6187 2892
7080708 6277 2898
8871221 6295 2899
8894073 6299 2899
9061318 6352 2901
4913167 6414 2901
9285369 6418 2901
9523814 6453 2901
9618497 6486 2904
9795880 6516 2908
9893132 6521 2908
0 3 1
7357612 6551 2906
10148627 6572 2907
5170761 6587 2906
10261980 6611 2909
10300357 6613 2909
10369364 6719 2915
10873979 6755 2916
11364965 6846 2920
11402771 6865 2923
11063851 6887 2925
11988971 6903 2925
11601486 6904 2925
12092515 6932 2926
11556831 6932 2926
345520 6953 2924
12268031 6961 2925
12372032 6976 2926
12437981 7042 2926
12481304 7043 2926
12560697 7054 2924
2508878 7077 2924
13075407 7126 2923
13177475 7147 2923
13332905 7157 2922
13378909 7161 2923
13434205 7162 2923
13477492 7166 2923
13518084 7181 2924
7922523 7181 2924
14047979 7301 2934
14004587 7305 2934
5887094 7308 2934
14246220 7309 2934
14310434 7350 2935
7571554 7352 2935
14590908 7354 2936
13758900 7357 2936
1626652 7389 2936
1561056 7423 2935
14762369 7434 2935
15027505 7444 2935
14610774 7444 2935
15012565 7447 2935
283986 7507 2937
15409194 7521 2936
15172288 7527 2936
10487208 7536 2936
15507118 7547 2936
15508315 7552 2936
11831225 7604 2938
5471885 7639 2938
