0 1 2
69811 1817 1885
1101344 3767 2632
1823652 4365 2768
3122775 5430 2887
5011623 5653 2899
5601290 5804 2911
4073471 5810 2911
5703134 5861 2913
4290644 5863 2913
5965399 5920 2919
224204 5920 2919
6185175 5953 2919
6181675 5957 2920
5950395 5973 2920
6186984 6017 2924
6213785 6021 2924
4181452 6023 2924
4745758 6026 2925
2954111 6049 2924
6592422 6063 2925
360898 6063 2924
1184936 6069 2924
6748722 6121 2931
6976892 6160 2936
1455570 6204 2936
7248874 6237 2935
1826291 6281 2936
7597000 6345 2940
7723451 6380 2941
7574742 6390 2941
7933455 6444 2944
7954189 6449 2944
8148516 6482 2946
8131177 6559 2950
8315548 6564 2950
8694697 6587 2950
5307958 6602 2950
5787830 6626 2950
8568885 6656 2950
6447990 6794 2955
4215313 6801 2956
9514473 6802 2957
9517640 6802 2957
9561125 6807 2957
9555340 6818 2958
7782153 6920 2967
10627205 6973 2968
10543255 6977 2968
10750953 7004 2967
10851047 7004 2967
10994758 7045 2969
3639528 7072 2972
9085099 7106 2974
8005993 7196 2975
6633133 7239 2974
11800099 7272 2976
12203757 7305 2976
12079461 7320 2976
4016948 7381 2977
12809899 7405 2978
12870575 7418 2978
12721383 7438 2977
6338289 7480 2978
11620748 7490 2978
13264815 7504 2979
13660367 7555 2976
11989707 7600 2976
848978 7652 2977
14323709 7665 2978
14783270 7743 2981
15038960 7750 2982
15094819 7792 2982
9980694 7792 2982
8653191 7845 2985
15604048 7845 2985
3739580 7873 2983
7394308 7877 2983
15962277 7878 2983
16121708 7909 2984
14529371 7912 2984
16972402 8039 2988
17095930 8048 2987
129212 8088 2987
6838523 8089 2987
9776166 8094 2987
8941677 8102 2988
12027998 8102 2988
2432582 8112 2988
17357634 8130 2988
16286338 8163 2988
14694874 8202 2988
5092305 8203 2988
18299283 8219 2987
18351608 8223 2987
18159700 8225 2987
13644103 8265 2986
16682923 8309 2988
12333490 8316 2987
18665845 8316 2987
18957366 8322 2987
18845325 8333 2987
17365530 8338 2987
19156221 8344 2987
16295499 8387 2988
18263059 8394 2988
18810871 8396 2988
12082023 8402 2988
19697471 8408 2988
19613603 8417 2988
7992811 8435 2988
19908262 8464 2988
20208061 8465 2988
3514926 8486 2988
18661250 8513 2989
20615135 8513 2989
18467103 8654 2988
19899176 8677 2990
22114915 8692 2991
22109809 8692 2991
22720239 8764 2991
7619560 8774 2991
23036651 8789 2991
23071975 8852 2991
23385143 8853 2991
10486642 8900 2989
23958987 8927 2992
16404836 8928 2992
20548580 8951 2992
24126350 8956 2992
24139972 8958 2992
8436314 8960 2992
16932325 8982 2992
11434210 8983 2992
4810149 8996 2992
2613890 9016 2993
18730033 9059 2993
23664311 9061 2993
24720577 9084 2992
12991381 9144 2992
25868352 9157 2991
7073297 9157 2991
18646989 9187 2993
11947350 9188 2993
25123167 9205 2993
25180433 9248 2994
22837940 9296 2994
611500 9297 2994
20210997 9301 2994
7951089 9317 2993
15360101 9333 2993
25501069 9333 2993
26999645 9339 2993
22363490 9348 2993
27754350 9360 2993
17429676 9360 2993
28194584 9397 2992
4061269 9397 2992
22631820 9426 2992
24174492 9426 2992
10499894 9430 2992
27959390 9436 2992
1714112 9451 2992
28784740 9462 2992
7362451 9471 2992
28200026 9488 2992
13848371 9517 2992
7430488 9546 2992
29691979 9550 2992
28647228 9574 2991
28402014 9578 2991
3772127 9596 2991
30199189 9600 2991
22965735 9618 2992
3166237 9697 2993
22942161 9851 2993
32710813 9890 2993
32605765 9916 2993
32875411 9919 2993
26052426 9933 2993
11212095 9953 2993
32855603 9970 2993
33466087 9975 2993
33536493 9983 2993
12618358 10007 2992
24770187 10017 2993
34227704 10052 2993
1103628 10094 2993
415026 10136 2993
35038020 10147 2993
395662 10163 2994
5451272 10168 2994
29550336 10182 2994
35040163 10191 2994
6671091 10204 2994
36671207 10280 2994
24909630 10316 2993
26082848 10319 2993
17860841 10331 2993
2615421 10344 2993
9254342 10347 2993
14197474 10347 2993
29062269 10386 2993
38247117 10401 2993
38243282 10403 2993
5775427 10413 2993
10592411 10421 2993
11602851 10492 2995
39188023 10513 2995
28578496 10519 2995
39365526 10528 2996
39673830 10556 2997
38507138 10614 2996
40377781 10632 2996
40334559 10632 2996
2583647 10643 2996
10355322 10648 2996
40389284 10653 2996
11659704 10662 2997
40322542 10672 2996
41049652 10684 2996
30495921 10711 2996
41362713 10726 2996
204404 10770 2996
32939871 10772 2996
12601753 10790 2996
40403370 10793 2996
42233837 10876 2996
41308947 10875 2996
26980243 10888 2997
42908127 10897 2997
27703059 10915 2997
42214165 10920 2997
43171569 10924 2997
43594927 10958 2997
26645041 10980 2997
24441369 10987 2997
19814350 10991 2997
28546077 11013 2997
17942103 11014 2997
24673066 11016 2997
41044289 11022 2997
32210676 11030 2997
29055132 11053 2997
44377998 11055 2997
16607337 11057 2997
4802049 11094 2997
17513189 11102 2997
44017704 11119 2997
29087636 11156 2997
4588225 11162 2997
25567628 11182 2997
43063799 11202 2998
45942582 11209 2998
9421725 11237 2998
27928270 11253 2998
27851086 11261 2998
45100690 11308 2997
13839638 11317 2997
35804988 11340 2996
48735696 11377 2996
47217959 11379 2996
48771687 11382 2996
30678404 11386 2996
23054903 11389 2996
20464177 11395 2996
21511021 11404 2996
49592296 11451 2996
17736312 11454 2996
17451897 11455 2997
48074576 11457 2997
49793161 11486 2997
48306982 11493 2998
10149150 11503 2998
31835131 11511 2998
29220063 11514 2998
50252473 11519 2998
38536470 11545 2998
44446823 11548 2998
34257897 11569 2998
16780648 11585 2998
34813126 11596 2998
51579260 11605 2998
50310498 11627 2999
50586227 11635 2999
51899185 11639 2999
52068527 11660 2999
52275424 11666 2999
50730951 11667 2999
17729738 11703 2999
15642718 11717 2999
53010893 11736 2999
53084212 11756 2999
25154610 11774 2999
36651507 11786 2999
482677 11796 2999
42944979 11797 2999
43406220 11858 2999
36322629 11870 2999
41673603 11875 2999
9819132 11882 2999
52270163 11900 2999
52222783 11908 2999
1305822 11932 2999
34614002 11958 2999
25851697 11972 2999
37011592 11988 2999
16740645 12018 2999
8585756 12042 2999
56203129 12062 2999
54969813 12064 2999
56565882 12074 2999
56644935 12074 2999
17126997 12088 2999
56901700 12105 2999
1720685 12109 2999
26358664 12112 2999
57044966 12124 2999
43684918 12131 2999
8896963 12131 2999
57374222 12144 2999
11428335 12155 2999
57715739 12169 2999
57898105 12178 2999
57789455 12183 2999
51494185 12223 2999
9457533 12257 2999
58946191 12272 2999
10210111 12275 2999
10362507 12281 2999
55983552 12294 2999
59500109 12314 3000
6813762 12339 3000
59757369 12343 3000
28783991 12365 3000
27150487 12406 3000
60306517 12415 3000
48460555 12442 3000
59739299 12446 3000
60740262 12448 3000
60499299 12449 3000
32105006 12453 3000
34445015 12458 3000
58611702 12462 3000
60985474 12467 3000
44307944 12506 3000
20292595 12535 3000
55085338 12539 3000
42340568 12539 3000
28904826 12542 3000
1646533 12560 3000
61962292 12580 3000
5076830 12581 3000
26800412 12599 3000
62594024 12624 3000
39475557 12624 3000
61713865 12648 3000
44539325 12659 3000
39802727 12693 3000
30168424 12697 3000
5043912 12710 3000
63639501 12732 3000
16468314 12792 3000
64392465 12792 3000
65022947 12822 3000
65019591 12829 3000
65232521 12835 3000
64191157 12835 3000
16246965 12849 3000
65380481 12850 3000
65407356 12852 3000
8883784 12883 3000
58099826 12886 3000
53072364 12940 3000
61563148 12967 3000
62632704 12975 3000
63044493 13004 3000
1540357 13006 3000
53718108 13037 3000
16167814 13038 3000
10594587 13116 3000
8838093 13147 3000
65523211 13146 3000
66432427 13151 3000
10442017 13151 3000
15562188 13153 3000
24877645 13172 3000
56643315 13198 3000
40174206 13216 3000
69882776 13216 3000
40702790 13217 3000
47518641 13268 3000
50694915 13272 3000
2126655 13276 3000
70851573 13279 3000
1522213 13282 3000
70677456 13283 3000
